iteration,barl,bayes,epopt
228.0,55.11244758527105,75.96475679411483,86.11697475847123
229.0,51.00145221388095,76.43869744077153,86.11697475847123
230.0,51.453349349565556,75.30753841963468,86.11697475847123
231.0,52.842342416297036,72.32085234393614,86.11697475847123
232.0,54.12648442608708,74.59310768116609,86.11697475847123
233.0,56.543413810282644,75.23490432858382,86.11697475847123
234.0,57.57907623466944,80.76118267133683,86.11697475847123
235.0,57.17860486882268,80.2349344916512,86.11697475847123
236.0,57.33037371072952,69.83155040528587,86.11697475847123
237.0,58.00897767780056,79.78147355680694,86.11697475847123
238.0,54.21073931676698,73.14178365135075,86.11697475847123
239.0,54.26021819862252,79.64283415336531,86.11697475847123
240.0,57.76491523062867,75.3334219612347,86.11697475847123
241.0,59.70559472756152,80.26465648858479,86.11697475847123
242.0,58.109418137568625,77.57346203856847,86.11697475847123
243.0,56.52510443011987,74.35319891371944,86.11697475847123
244.0,53.74522993986518,75.58207297371638,86.11697475847123
245.0,56.325048584688574,80.20832972285199,86.11697475847123
246.0,59.59428466299144,84.6547902562296,86.11697475847123
247.0,60.4223172094342,79.60579479198275,86.11697475847123
248.0,62.67390866778232,79.90215056306405,86.11697475847123
249.0,62.714659023414555,83.58343579553454,86.11697475847123
250.0,62.18227700816643,84.10671790753489,86.11697475847123
251.0,62.67208927419672,78.14086040403274,86.11697475847123
252.0,57.54730885119387,79.43704316860449,86.11697475847123
253.0,60.97953579264405,77.54524880914148,86.11697475847123
254.0,58.64232987466515,79.48952378272894,86.11697475847123
255.0,60.315539308341286,82.22001688284195,86.11697475847123
256.0,54.9444798837697,79.15250268615657,86.11697475847123
257.0,59.61689400684344,87.75490795250985,86.11697475847123
258.0,60.46964410232893,85.3029866248187,86.11697475847123
259.0,58.737213351886204,84.93324744472449,86.11697475847123
260.0,62.00425517758193,85.8534523064931,86.11697475847123
261.0,67.36380863644672,85.74106093882489,86.11697475847123
262.0,63.94358847294555,85.34733400049531,86.11697475847123
263.0,58.732487138668056,83.0905628339779,86.11697475847123
264.0,60.90874008881942,78.41511806179189,86.11697475847123
265.0,67.22780831546005,86.53091481319858,86.11697475847123
266.0,59.253298437179254,83.33413155096252,86.11697475847123
267.0,62.265152774872774,88.12838655450989,86.11697475847123
268.0,64.65288716544003,82.90764810873664,86.11697475847123
269.0,66.7895129674043,86.50133169789241,86.11697475847123
270.0,62.77522710753574,82.52817298562017,86.11697475847123
271.0,64.13249968078779,85.25656616485361,86.11697475847123
272.0,63.990348818874644,79.80586511204478,86.11697475847123
273.0,68.20349615055528,84.72011363805503,86.11697475847123
274.0,65.15969037899475,82.5858740282385,86.11697475847123
275.0,64.6006406285344,89.0455904831903,86.11697475847123
276.0,62.53125988549707,83.6138963528279,86.11697475847123
277.0,60.86341360116779,86.32107000198148,86.11697475847123
278.0,67.52617178077196,86.99201667831927,86.11697475847123
279.0,68.71546623377981,83.14174267437478,86.11697475847123
280.0,69.69634582836652,85.0689066520707,86.11697475847123
281.0,67.94720331279453,85.11188533918816,86.11697475847123
282.0,61.92350987611042,85.28477106214066,86.11697475847123
283.0,66.36875576439296,77.98232476472133,86.11697475847123
284.0,68.8999994120471,81.2349622100837,86.11697475847123
285.0,64.32976331869541,84.79996599986622,86.11697475847123
286.0,66.79280691715557,89.0953522268323,86.11697475847123
287.0,69.46334103367293,81.6288577684985,86.11697475847123
288.0,65.86517150577497,83.21197493961287,86.11697475847123
289.0,72.18934546910775,88.16700179475409,86.11697475847123
290.0,68.3228436256678,87.00098123270502,86.11697475847123
291.0,69.42990351832375,91.09519116477547,86.11697475847123
292.0,66.88857548247321,85.30082427974911,86.11697475847123
293.0,66.71032819846954,86.10634557048279,86.11697475847123
294.0,65.29126687489673,90.55001967659074,86.11697475847123
295.0,69.40337337556967,80.26891185282017,86.11697475847123
296.0,68.43482456728469,87.68356933999868,86.11697475847123
297.0,68.41304038045548,88.51515432738718,86.11697475847123
298.0,68.47303953528274,85.98762983729102,86.11697475847123
299.0,70.84762256944738,93.75785849942899,86.11697475847123
300.0,69.23260357238257,85.17909166289894,86.11697475847123
301.0,64.87914995836897,85.49014017979847,86.11697475847123
302.0,70.54858171868213,87.52323612872668,86.11697475847123
303.0,67.38126138435138,86.88485874680774,86.11697475847123
304.0,68.94219629114738,84.79564475265151,86.11697475847123
305.0,67.57369532916242,88.86288826176249,86.11697475847123
306.0,68.45212109595592,88.03196134817901,86.11697475847123
307.0,68.0271594058366,89.37355061325128,86.11697475847123
308.0,76.85522621962025,87.08107310821511,86.11697475847123
309.0,71.76925673420885,90.71597733481762,86.11697475847123
310.0,71.98301024968985,96.10520376043885,86.11697475847123
311.0,72.36181137143096,87.1386170161983,86.11697475847123
312.0,68.57113067677903,92.9926942348365,86.11697475847123
313.0,71.15161554594299,93.47247271650525,86.11697475847123
314.0,72.93317608245887,89.09314841815397,86.11697475847123
315.0,70.45964617055942,90.11995889870303,86.11697475847123
316.0,67.51465155680263,95.869527458982,86.11697475847123
317.0,74.31702892258077,95.77985665175594,86.11697475847123
318.0,69.95640637742638,94.19899386322265,86.11697475847123
319.0,72.20903102137044,90.6361465252811,86.11697475847123
320.0,73.81451244731971,87.84309985028004,86.11697475847123
321.0,74.69752760280973,82.71289205933822,86.11697475847123
322.0,73.24900242698881,91.09255285447412,86.11697475847123
323.0,74.67909628593124,91.2242126818552,86.11697475847123
324.0,72.79159444368858,95.63559750642159,86.11697475847123
325.0,77.86676313864666,90.15150958454242,86.11697475847123
326.0,76.09539479296042,94.76727566610663,86.11697475847123
327.0,75.13358130635832,92.19157205779965,86.11697475847123
328.0,73.45189381967033,90.9828981310294,86.11697475847123
329.0,77.69659577965987,93.55173901684395,86.11697475847123
330.0,79.09487220495832,95.11736108942901,86.11697475847123
331.0,79.65646225672408,92.87412446204694,86.11697475847123
332.0,74.14044137014939,93.87674270743403,86.11697475847123
333.0,78.11631601652611,97.56313729606575,86.11697475847123
334.0,74.94243300284458,99.12413861530177,86.11697475847123
335.0,83.71980635403864,95.89178384014497,86.11697475847123
336.0,73.13628168377356,96.69437224789287,86.11697475847123
337.0,77.97203427842592,99.91061860351486,86.11697475847123
338.0,76.57495875977492,94.68708179536206,86.11697475847123
339.0,73.68342148772908,100.78856568226433,86.11697475847123
340.0,77.05341719057628,92.0197831327445,86.11697475847123
341.0,72.63783647106558,99.00958897512945,86.11697475847123
342.0,80.29791068696836,92.45444934714364,86.11697475847123
343.0,75.01524201218447,95.62237813757683,86.11697475847123
344.0,85.37562728639834,93.04876216277421,86.11697475847123
345.0,77.27117387943804,91.22790746214154,86.11697475847123
346.0,80.23342663685631,97.76808497046999,86.11697475847123
347.0,82.83383844213843,99.27357251810737,86.11697475847123
348.0,76.5478435388905,99.50633389640636,86.11697475847123
349.0,73.73680609577721,100.39060034045178,86.11697475847123
